Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"CASTROLIND","161.80","165.00","161.80","164.20","2.40","1.48","8.39","13.77","213.95","134.95","-19.01","9.50"
"MFSL","424.00","430.75","415.20","427.85","6.25","1.48","4.12","17.45","534.00","350.00","-10.94","14.11"
"BAJAJ-AUTO","2,970.00","3,002.00","2,936.90","2,998.00","42.30","1.43","9.36","279.65","3,194.95","2,420.00","2.53","8.23"
"UPL","889.45","899.45","887.60","894.40","12.65","1.43","21.05","188.40","899.45","537.25","25.83","11.07"
"GODREJIND","515.00","522.60","512.75","518.30","7.20","1.41","2.51","13.03","657.60","434.50","-5.84","5.07"
"MRF","57,040.00","57,980.15","57,040.00","57,824.65","798.05","1.40","0.03","18.49","81,425.95","53,858.35","-17.63","-3.52"
"ICICIBANK","371.80","378.40","370.00","375.70","5.10","1.38","79.61","299.10","383.55","256.50","26.52","4.56"
"RELINFRA","126.20","133.90","125.65","132.00","1.80","1.38","100.62","131.77","489.55","96.55","-69.09","-14.45"
"LICHSGFIN","498.50","507.80","494.80","500.40","6.75","1.37","23.53","118.39","583.80","387.60","3.37","8.83"
"CONCOR","490.00","500.80","487.55","494.60","6.15","1.26","21.71","106.86","569.48","433.60","-60.45","-3.11"
"CGPOWER","34.90","39.00","34.25","36.65","0.45","1.24","314.82","117.49","84.95","20.25","-53.64","12.60"
"BEML","895.00","918.45","895.00","909.05","10.60","1.18","13.35","121.31","1,219.80","521.25","-20.07","19.85"
"IGL","295.00","299.00","293.45","297.20","3.40","1.16","11.67","34.67","320.75","215.20","-4.38","-0.83"
"REPCOHOME","455.00","467.50","455.00","460.95","5.20","1.14","9.74","45.03","653.40","293.90","-16.09","20.38"
"HINDZINC","269.00","271.45","268.55","270.30","3.05","1.14","5.25","14.17","336.50","242.85","-13.88","5.22"
"BSOFT","104.50","106.75","104.00","105.05","1.15","1.11","5.33","5.61","314.50","92.60","-","-"
"TITAN","1,058.00","1,074.60","1,057.60","1,064.55","11.35","1.08","23.25","248.52","1,076.85","732.30","30.19","0.52"
